Device,Time,Query
Iphone,2021-02-23T13:43:32.329Z[UTC],bar
Iphone,2021-02-23T13:45:01.547Z[UTC],rompezabeca
Iphone,2021-02-25T04:58:06.734Z[UTC],ricardo
Iphone,2021-02-25T22:48:24.757Z[UTC],number
Desktop,2021-02-26T14:16:21.084Z[UTC],dua lipa
Iphone,2021-02-26T16:34:08.898Z[UTC],bil
Iphone,2021-02-26T16:34:13.023Z[UTC],villalo
Iphone,2021-02-26T18:22:06.314Z[UTC],amord de ve
Iphone,2021-02-26T18:27:29.408Z[UTC],whe
Iphone,2021-02-26T20:38:38.696Z[UTC],shoot t
Iphone,2021-02-26T22:40:29.652Z[UTC],shoot to
Iphone,2021-02-28T17:36:19.965Z[UTC],young f
Iphone,2021-02-28T19:25:42.790Z[UTC],delit
Desktop,2021-03-01T01:52:20.892Z[UTC],sex playlist
Desktop,2021-03-01T01:52:59.890Z[UTC],sensual playlist
Desktop,2021-03-05T15:58:06.441Z[UTC],personalmente
Iphone,2021-03-07T02:56:01.896Z[UTC],person
Iphone,2021-03-08T21:01:01.173Z[UTC],conocien
Iphone,2021-03-10T02:40:22.236Z[UTC],maria del cerro
Iphone,2021-03-10T02:40:34.302Z[UTC], del cerro
Iphone,2021-03-10T02:40:57.884Z[UTC], del
Iphone,2021-03-10T02:41:32.080Z[UTC],maria bc
Iphone,2021-03-10T02:41:36.351Z[UTC],maria bece
Iphone,2021-03-10T02:42:33.118Z[UTC],tini
Iphone,2021-03-13T04:12:28.212Z[UTC],fkj
Iphone,2021-03-14T12:59:12.021Z[UTC],cancion 
Iphone,2021-03-14T13:52:21.229Z[UTC],cancion 
Iphone,2021-03-15T02:13:23.571Z[UTC],camino
Iphone,2021-03-15T02:13:42.224Z[UTC],camino sobra
Iphone,2021-03-15T02:13:43.374Z[UTC],camino sobr
Iphone,2021-03-15T02:23:56.927Z[UTC],high
Iphone,2021-03-16T18:41:07.662Z[UTC],biza
Iphone,2021-03-16T18:47:22.831Z[UTC],biz
Iphone,2021-03-16T18:47:23.866Z[UTC],sola
Iphone,2021-03-18T22:32:58.850Z[UTC],daft punk qu
Desktop,2021-03-19T15:27:18.342Z[UTC],enya
Desktop,2021-03-19T17:46:46.556Z[UTC],shoot to thrill
Iphone,2021-03-20T06:58:41.076Z[UTC],vulfpeck
Iphone,2021-03-20T06:59:24.458Z[UTC],vul
Iphone,2021-03-20T07:28:15.530Z[UTC],daft
Iphone,2021-03-20T19:28:20.589Z[UTC],bautista fiori
Desktop,2021-03-25T00:41:05.674Z[UTC],pink floyd pompei
Desktop,2021-03-25T00:50:50.445Z[UTC],pink floyd pompei
Iphone,2021-03-25T15:02:43.204Z[UTC],bzrp
Desktop,2021-03-25T22:56:46.404Z[UTC],random access memories
Desktop,2021-03-25T22:57:22.519Z[UTC],the wall
Desktop,2021-03-25T22:57:40.895Z[UTC],dark side of the moon
Desktop,2021-03-25T22:57:46.698Z[UTC],animals
Desktop,2021-03-25T22:59:16.223Z[UTC],wish you were here
Desktop,2021-03-25T22:59:32.309Z[UTC],atom heart mother
