Date,Artist,Track,MinPlayed
2020-03-31 01:59,Jamiroquai,Cosmic Girl - Remastered,0.010433333333333333
2020-03-31 01:59,Charly García,Promesas Sobre El Bidet,0.018183333333333333
2020-03-31 01:59,Charly García,Demoliendo Hoteles,2.2662166666666668
2020-03-31 02:00,Al Tanner,The Rock That Killed Goliath,0.0089
2020-03-31 02:02,Anti Lilly,Grow,2.1393166666666668
2020-03-31 21:11,Charly García,Ella Es Bailarina,0.24263333333333334
2020-03-31 21:11,Anti Lilly,Grow,0.34983333333333333
2020-03-31 21:12,Charly García,Los Dinosaurios,0.27785
2020-03-31 21:13,New Order,Blue Monday - 2016 Remaster,0.013916666666666667
2020-03-31 21:13,Charly García,Cuchillos,0.4729
2020-03-31 21:13,Indeep,Last Night a D.J. Saved My Life,0.018183333333333333
2020-03-31 21:13,Charly García,Fanky,0.011216666666666666
2020-03-31 21:13,Queen,Seven Seas Of Rhye - Remastered 2011,0.065
2020-03-31 21:13,Queen,Radio Ga Ga - Live Aid,0.15595
2020-03-31 21:13,Pescado Rabioso,Como el Viento Voy a Ver,0.015466666666666667
2020-03-31 21:13,Queen,Now I'm Here - Remastered 2011,0.1695
2020-03-31 21:13,Peaches & Herb,"Shake Your Groove Thing - Serious Rope 7"" Mix",0.0178
2020-03-31 21:13,Gustavo Cerati,Hoy Ya No Soy Yo,0.0863
2020-03-31 21:13,Gustavo Cerati,Hoy Ya No Soy Yo,0.03481666666666667
2020-03-31 21:13,Sister Sledge,We Are Family,0.0325
2020-03-31 21:13,El Mató a un Policía Motorizado,El Tesoro,0.024366666666666665
2020-03-31 21:18,Indeep,Last Night a D.J. Saved My Life,4.210883333333333
2020-03-31 21:25,New Order,Blue Monday - 2016 Remaster,7.513333333333334
2020-03-31 21:30,Young MC,Bust A Move,4.3985666666666665
2020-03-31 21:31,Spinetta Y Los Socios Del Desierto,Cheques,1.1073333333333333
2020-03-31 21:31,Technotronic,Pump Up The Jam,0.023983333333333332
2020-03-31 21:31,Illya Kuryaki & The Valderramas,Abarajame,0.07391666666666667
2020-03-31 21:41,Di Melo,A.E.I.O.U.,0.0592
2020-03-31 21:41,Kylie Minogue,Can't Get You out of My Head,0.018183333333333333
2020-03-31 21:41,Charly García,Nos Siguen Pegando Abajo,0.013916666666666667
2020-03-31 21:41,Bee Gees,You Should Be Dancing,2.4764
2020-03-31 21:41,Aretha Franklin,Freeway Of Love,0.017016666666666666
2020-03-31 21:45,The Notorious B.I.G.,Notorious B.I.G. (feat. Lil' Kim & Puff Daddy) - 2005 Remaster,3.1933333333333334
2020-03-31 21:49,Intoxicados,Una Vela,4.554666666666667
2020-03-31 21:53,Stevie Wonder,Sir Duke,3.8793333333333333
2020-03-31 21:55,Black Eyed Peas,Let's Get Retarded,2.27305
2020-03-31 22:00,Robbie Williams,Rock DJ,4.309333333333333
2020-03-31 22:04,Eminem,Without Me,4.838666666666667
2020-03-31 22:08,Kool & The Gang,Celebration - Single Version,3.5942166666666666
2020-03-31 22:09,Chuck Berry,You Never Can Tell,0.8714
2020-03-31 22:13,Prince,Kiss,3.7706666666666666
2020-03-31 22:17,Charly García,No Me Dejan Salir,4.386666666666667
2020-03-31 22:17,Black Eyed Peas,Pump It,0.06636666666666667
2020-04-01 21:25,La Renga,La Razón Que Te Demora,4.413966666666667
2020-04-01 21:28,Led Zeppelin,Immigrant Song - Remaster,2.4375
2020-04-01 21:31,Pescado Rabioso,Bajan,3.407766666666667
2020-04-01 21:36,Cream,Crossroads - Live,4.307766666666667
2020-04-01 21:39,Daft Punk,Instant Crush (feat. Julian Casablancas),2.988366666666667
2020-04-01 21:44,Mac Miller,Dang! (feat. Anderson .Paak),5.089166666666666
2020-04-01 21:50,The Rolling Stones,Melody - Remastered,5.43855
2020-04-01 21:50,The Who,Who Are You,0.014316666666666667
2020-04-01 21:50,Lenny Kravitz,Again,0.014316666666666667
2020-04-01 21:53,Pink Floyd,The Great Gig in the Sky,3.0801166666666666
2020-04-01 22:03,Pink Floyd,The Great Gig in the Sky,1.6509666666666667
2020-04-01 22:06,Arctic Monkeys,Dancing Shoes,2.3522166666666666
2020-04-01 22:10,J. Cole,Wet Dreamz,3.9886666666666666
2020-04-01 22:14,Gorillaz,Kids with Guns,3.7628833333333334
2020-04-01 22:17,Los Abuelos De La Nada,Lunes Por La Madrugada,3.2371
2020-04-01 22:20,Jaco Pastorius,"Come On, Come Over",3.0908
2020-04-01 22:24,Bee Gees,"You Should Be Dancing - Edit / From ""Saturday Night Fever"" Soundtrack",4.274883333333333
2020-04-01 22:28,Odyssey,Going Back to My Roots - Single Version,3.4251
2020-04-01 22:31,Righeira,No Tengo Dinero,3.2824333333333335
